回避,回避
回证,送达证明
应诉通知书,诉讼辩护通知书
起诉状,抱怨
举证通知书,举证通知书
诉讼权利义务告知书,诉讼权利和义务通知
廉政监督卡,反腐败监管表
传票,召唤
民事判决书,民事判决
民事调解书,民事调解
民事裁定书,民事裁决
执行裁定书,执行裁定
仲裁裁决书,仲裁裁决（或仲裁裁决）
执行申请人,申请人
被执行人,被告
执行,执法
安全,安全
按照,根据
案件性质,案件性质
案外人,不涉案的当事人
案由,诉因
办事机构,办公室
保全和先予执行,保存和初步执行
保全手续,保存手续
保险理赔费,保险赔偿
保证人,保证人
保证书,保证
背书人,代言人
背书转让,可通过背书转让
被保全人,采用保全所针对的人
被担保的债权,附担保债权
被告,被告
被告住所地,被侵权人的住所
被挂靠人,附属实体
被监禁,监禁
被拘传人,被逮捕令传唤到法院的一方
被调查人,被调查人员
被执行人,被执行人
被执行人,答辩人/被执行人
笔录,记录
变更,变更/修改
变更,改变
变更公司登记,公司注册项目
变更债务清偿方式,债务偿还方式的变更
变价财产,出售定金
辩护人,辩护人
辩论权利,辩论权
辩论权利,辩论权
标的物所在地,主题所在的位置
剥夺,否认
驳回,否决/驳回
驳回申请,拒绝声明
补正,整流
不成立,站不住 脚
不动产,不动产
不动产登记簿,不动产登记册
不服,不满
不服指定,对指定不满意
不可抗拒的事由,不可抗力事件
不完备,不完全的
不予受理,拒绝诉讼
财产保全的方法和措施,财产保全措施
财产保险合同,财产保险合同
财产报告制度,物业报告系统
财产被留置的所有权人,财产由留置权创建的所有者
财产被留置的债务人,财产由留置权设定的债务人
财产代管人,媒体资源的管理员
财产分割,家庭财产分割
财产纠纷,财产纠纷
财产情况,与资产有关的情况
财产权益纠纷,财产权益纠纷
财产权证照,产权证书
财产权证照,房契
财产确权,产权核查
财产损害,财产损失
财产无主,确定财产为无主
财产所在地,物业所在地点
财产租赁合同,物业租赁合同
裁定,裁定
裁定撤销,撤销裁决
裁定改正,修改裁决
裁定遗漏,裁决省略
裁定中止执行,暂停执行裁定
裁定终结,发布终止裁决
裁定终结,自动变为无效
裁定终结,总结规则
采取保全,保存
仓单,仓单
查封,没收
查封,密封起来
查封,附件
查阅调取,咨询或占有
产品销售地,产品的销售地点
产品制造地,产品制造
车船执照,车辆和船舶许可证
撤回,撤销/撤回
撤诉,案例 NOL 赞成/撤回诉讼
撤销,撤回
诚实信用原则,诚信原则
承包经营,合同运营
迟延履行,延迟履行
迟延履行金,延迟性能罚款
迟延履行期间,延期履行的期间
持票人,持有
冲击法庭,法庭骚乱
充分有效担保,充分有效的保障
出票人,抽屉
出示,展览
出质人,质押者
初步证据,初步证据
处分,处理
传票,召唤
传票,召唤
从其约定,以该协议为准
村民委员会,村民委员会
答辩,响应
答辩状,答辩书
代表机构,代表处
代理权,代理权限
代理人,主要
代履行,代表一方当事人履行义务
代为执行,委托执行
待证事实,待证明的事实
待证事实真伪不明,有待提供的事实不明确
担保,安全
担保财产,有担保的财产
担保合同,担保合同
担保物权,安全实物权利
担保物权人,担保物权所有人
单位负责人,实体负责人
当事人,有关缔约方/当事方
当事人的陈述,当事方的声明
到期债权,成熟的财产债权
抵押登记证明,抵押登记证明
抵押权人,抵押权人
抵押人,抵押人
抵押物,抵押
地域管辖,属地管辖权
第二审,二审
第二审程序,二审程序
第二审人民法院,第二审人民法院
第三人撤销之诉,第三方撤销诉讼
第三人撤销之诉,第三方申请撤销
第一审,一审
第一审普通程序,一审普通程序
第一审人民法院,第一审人民法院
缔结,加入
电子数据,电子数据
定居,居住/定居
定期宣判,在固定时间宣判或裁定
动产,动产
冻结,冻结
督促程序,追讨债务的程序
独立请求权,独立索赔
独立请求权,独立索赔
对待给付义务,交换条件的义务
对等原则,互惠原则
对妨害民事诉讼的强制措施,妨害民事诉讼的强制措施
恶意串通,恶意串通
发回重审,还押重审
发票人,抽屉
法定代表人,法定代理人
法定代理人,法定代理人
法定期间,法定期限
法定期间,法定时限
法律监督,法律监督
法律效力,...已生效
法人,法人
法庭纪律,法院纪律
翻译人员,译员
反诉,反诉
妨害行为,讨厌的人
房产证,房地产牌照
房屋租赁合同,房屋租赁合同
放弃,放弃/退出
非上市公司,非上市公司
非讼程序,非诉讼程序
分配方案,分配计划
分配利润,利润分配
夫妻共同财产,婚姻共有财产
扶养,保养
扶养费,保养
扶养费案件,赡养费索赔
服务提供地,提供服务的地点
抚恤金,残疾人或死者家属的养恤金
抚育,教养
抚育费,抚养费
抚育费,子女抚养费
复议,回顾
改判,推翻
盖章,密封
格式条款,标准条款
个人独资企业,独资
个人合伙,个人伙伴关系
个人隐私,个人隐私
给付货币,付款
给付金钱,付款
给付金钱义务,支付义务
根据,根据
根据情节轻重,根据案件的轻重程度
公布,颁布
公告送达,公告送达
公示催告,公开邀请主张索赔
公示催告程序,公开邀请主张索赔的程序
公示催告程序,公开邀请程序
公司分立,划分
公司合并,组合
公司减资,资本减少
公司决议,公司决议
公司设立,成立公司
公司增资,增资
公序良俗,公共秩序和良好风俗
公益诉讼,公益诉讼
公益诉讼,公益诉讼
公正审理,公平听证会
公证程序,公证程序
公证机关,公证机关
公证文书,公证文件
公证债权文书,经公证的义务文件
共同诉讼人,共同诉讼人
共同原告,共同原告
股东名册,会员名册
股东知情权,股东的知情权
股东资格,股东资格
挂靠,联系
挂靠人,联盟
管辖,管辖
管辖权,法理学
管辖权争议,管辖权争议
管辖协议,管辖权协议
管辖异议,对管辖权的异议
规避执行,总督执行
规定,订 明
国际条约,国际条约
国家机关,国家机关
国家利益,国家利益
国家秘密,国家机密
海商,海上贸易
海事,海事
海事法院,海事法院
函复,通过信件回复
函告,通过信件通知
行权日期,归属日期
行政机关,行政机关
行政诉讼,行政行动
行政主管部门,主管行政部门
合并审理,合并审理
合法权益,合法权益
合法原则,合法性原则
合伙企业,
合伙型联营体,合作伙伴协会
合同纠纷,合同纠纷
合同履行地,履行合同的地点
合同签订地,签订合同的地点
合同受让人,受让人
合同转让,转让合同
和解协议,和解协议
和解协议,和解协议
哄闹,一片哗然
互惠关系,互惠关系
互相推诿,相互转移
互相质证,盘问
户籍,居住登记
户籍迁出,取消了居住登记
